datetime,open,high,low,close,volume
2013-01-02 23:59:59,348.53,350.77,347.01,350.21,0
2013-01-03 23:59:59,350.43,351.06,349.34,350.74,0
2013-01-04 23:59:59,349.98,351.80,349.63,351.73,0
2013-01-07 23:59:59,351.75,352.30,350.62,351.24,0
2013-01-08 23:59:59,350.08,351.58,349.06,349.11,0
2013-01-09 23:59:59,350.53,350.76,348.84,350.00,0
2013-01-10 23:59:59,350.91,352.33,349.75,350.69,0
2013-01-11 23:59:59,351.33,351.74,349.27,350.13,0
2013-01-14 23:59:59,351.71,351.71,346.58,347.34,0
2013-01-15 23:59:59,346.43,348.39,346.05,347.86,0
2013-01-16 23:59:59,347.52,349.29,346.69,348.84,0
2013-01-17 23:59:59,348.06,351.39,347.66,351.19,0
2013-01-18 23:59:59,352.22,352.61,350.78,350.89,0
2013-01-21 23:59:59,351.84,353.36,351.84,353.07,0
2013-01-22 23:59:59,352.79,353.79,351.34,353.45,0
2013-01-23 23:59:59,355.14,355.54,352.64,353.01,0
2013-01-24 23:59:59,353.27,354.74,352.25,354.13,0
2013-01-25 23:59:59,353.73,356.21,353.52,355.74,0
2013-01-28 23:59:59,356.45,357.55,356.17,356.68,0
2013-01-29 23:59:59,356.49,358.11,356.12,358.08,0
2013-01-30 23:59:59,358.45,358.92,356.68,357.54,0
2013-01-31 23:59:59,356.22,357.23,354.00,354.35,0
2013-02-01 23:59:59,354.42,356.88,354.38,355.55,0
2013-02-04 23:59:59,356.03,356.23,349.57,349.69,0
2013-02-05 23:59:59,350.13,350.38,347.99,348.43,0
2013-02-06 23:59:59,348.62,349.53,345.20,345.86,0
2013-02-07 23:59:59,346.70,347.40,343.70,343.70,0
2013-02-08 23:59:59,344.56,345.96,343.66,345.13,0
2013-02-11 23:59:59,345.97,346.36,344.55,344.99,0
2013-02-12 23:59:59,344.62,346.20,343.52,346.20,0
2013-02-13 23:59:59,346.36,347.30,344.95,345.83,0
2013-02-14 23:59:59,345.57,346.74,344.04,345.84,0
2013-02-15 23:59:59,345.54,346.23,343.34,343.45,0
2013-02-18 23:59:59,343.22,343.47,342.31,343.23,0
2013-02-19 23:59:59,342.82,348.14,342.50,347.63,0
2013-02-20 23:59:59,346.76,347.02,342.95,343.61,0
2013-02-21 23:59:59,341.01,341.17,335.53,336.38,0
2013-02-22 23:59:59,337.40,340.63,337.17,339.87,0
2013-02-25 23:59:59,341.01,343.94,338.79,340.26,0
2013-02-26 23:59:59,332.99,337.72,332.99,335.29,0
2013-02-27 23:59:59,336.74,337.69,333.16,337.37,0
2013-02-28 23:59:59,338.75,340.82,337.96,340.53,0
2013-03-01 23:59:59,339.71,340.83,336.50,339.73,0
2013-03-04 23:59:59,337.91,340.08,337.51,339.58,0
2013-03-05 23:59:59,341.48,347.23,341.36,346.50,0
2013-03-06 23:59:59,346.33,349.08,346.13,347.36,0
2013-03-07 23:59:59,347.95,349.43,347.48,347.87,0
2013-03-08 23:59:59,349.42,352.94,349.15,352.43,0
2013-03-11 23:59:59,351.43,351.95,350.76,351.56,0
2013-03-12 23:59:59,351.17,352.91,351.16,352.06,0
2013-03-13 23:59:59,351.76,352.18,350.83,352.02,0
2013-03-14 23:59:59,353.15,355.85,352.60,355.85,0
2013-03-15 23:59:59,356.16,356.16,352.67,353.58,0
2013-03-18 23:59:59,348.57,353.32,348.57,353.01,0
2013-03-19 23:59:59,352.23,354.33,350.54,352.05,0
2013-03-20 23:59:59,353.76,355.33,353.34,354.37,0
2013-03-21 23:59:59,354.25,354.25,351.33,352.41,0
2013-03-22 23:59:59,351.00,353.15,349.55,350.74,0
2013-03-25 23:59:59,354.04,354.71,347.85,348.72,0
2013-03-26 23:59:59,349.65,350.07,347.98,349.27,0
2013-03-27 23:59:59,350.63,350.69,344.81,346.16,0
2013-03-28 23:59:59,346.44,350.34,346.44,348.10,0
2013-04-02 23:59:59,347.78,352.85,347.67,352.50,0
2013-04-03 23:59:59,351.67,353.01,349.42,349.60,0
2013-04-04 23:59:59,350.03,351.17,345.95,346.53,0
2013-04-05 23:59:59,346.47,346.76,337.94,340.71,0
2013-04-08 23:59:59,341.53,342.26,340.53,340.91,0
2013-04-09 23:59:59,342.94,342.94,340.05,341.35,0
2013-04-10 23:59:59,342.26,349.54,342.26,348.53,0
2013-04-11 23:59:59,348.16,351.97,347.89,351.28,0
2013-04-12 23:59:59,350.42,350.94,347.87,348.65,0
2013-04-15 23:59:59,348.53,349.50,344.87,346.30,0
2013-04-16 23:59:59,344.65,348.25,344.23,345.79,0
2013-04-17 23:59:59,347.52,347.68,340.23,340.84,0
2013-04-18 23:59:59,341.97,342.55,339.24,340.72,0
2013-04-19 23:59:59,341.94,342.69,339.62,341.68,0
2013-04-22 23:59:59,342.63,343.70,338.69,340.07,0
2013-04-23 23:59:59,340.23,349.34,340.13,349.15,0
2013-04-24 23:59:59,348.43,353.30,348.36,352.94,0
2013-04-25 23:59:59,352.07,355.01,351.74,354.04,0
2013-04-26 23:59:59,352.57,352.59,349.95,351.50,0
2013-04-29 23:59:59,351.90,354.51,351.73,354.15,0
2013-04-30 23:59:59,354.30,354.39,350.34,351.39,0
2013-05-02 23:59:59,351.52,355.63,351.22,354.80,0
2013-05-03 23:59:59,354.62,358.66,353.42,357.61,0
2013-05-06 23:59:59,357.61,358.73,357.18,357.44,0
2013-05-07 23:59:59,357.07,358.17,356.07,356.48,0
2013-05-08 23:59:59,357.03,358.45,356.37,357.93,0
2013-05-09 23:59:59,357.53,359.87,357.03,359.15,0
2013-05-10 23:59:59,359.36,362.36,359.32,361.17,0
2013-05-13 23:59:59,361.00,362.26,360.43,361.12,0
2013-05-14 23:59:59,362.32,363.69,361.09,363.69,0
2013-05-15 23:59:59,363.72,366.45,363.21,366.07,0
2013-05-16 23:59:59,365.73,366.42,364.75,365.37,0
2013-05-17 23:59:59,364.44,368.72,364.03,368.08,0
2013-05-20 23:59:59,369.05,369.99,367.99,369.97,0
2013-05-21 23:59:59,369.34,370.44,367.73,370.44,0
2013-05-22 23:59:59,370.35,372.67,370.00,372.11,0
2013-05-23 23:59:59,366.04,367.41,363.28,365.22,0
2013-05-24 23:59:59,365.81,366.50,362.57,364.63,0
2013-05-27 23:59:59,365.68,366.70,365.16,366.56,0
2013-05-28 23:59:59,368.17,373.31,368.17,371.50,0
2013-05-29 23:59:59,369.14,369.76,365.79,366.25,0
2013-05-30 23:59:59,365.33,368.79,365.33,367.69,0
2013-05-31 23:59:59,367.38,367.38,362.56,363.38,0
2013-06-03 23:59:59,361.27,364.92,359.09,361.07,0
2013-06-04 23:59:59,362.81,363.66,359.90,360.42,0
2013-06-05 23:59:59,357.93,359.32,352.69,353.06,0
2013-06-06 23:59:59,353.52,355.22,349.58,349.58,0
2013-06-07 23:59:59,350.22,353.51,347.24,352.69,0
2013-06-10 23:59:59,352.45,353.86,351.19,352.86,0
2013-06-11 23:59:59,351.62,351.62,346.11,350.30,0
2013-06-12 23:59:59,349.43,351.89,347.31,347.68,0
2013-06-13 23:59:59,343.39,347.94,341.97,347.23,0
2013-06-14 23:59:59,349.51,350.01,347.09,347.98,0
2013-06-17 23:59:59,349.64,353.24,349.23,350.81,0
2013-06-18 23:59:59,349.86,351.96,348.92,351.09,0
2013-06-19 23:59:59,352.34,352.99,349.69,351.08,0
2013-06-20 23:59:59,346.50,347.47,340.96,341.88,0
2013-06-21 23:59:59,342.57,345.33,337.64,337.64,0
2013-06-24 23:59:59,337.22,338.42,330.98,332.25,0
2013-06-25 23:59:59,335.51,336.15,332.87,335.40,0
2013-06-26 23:59:59,336.25,341.40,335.63,340.82,0
2013-06-27 23:59:59,341.58,346.17,339.70,344.75,0
2013-06-28 23:59:59,345.55,346.89,343.64,344.59,0
